symbol,peRatio,pbRatio,pcfRatio,pca_clusters
CI,8.88302,1.42021,6.23048,2
CINF,6.46679,1.54538,6.23412,2
CMA,9.26045,1.26721,8.06709,2
CMCSA,20.94159,2.71028,10.00897,2
CME,34.71614,2.48804,28.34162,2
CMI,14.75208,4.01067,10.81933,2
CMS,21.72619,3.0814,9.42484,2
CNC,51.99311,1.41954,17.80456,2
CNP,18.99332,2.07178,7.29621,2
COF,6.24943,1.20092,4.66191,2
COG,27.89085,3.29825,11.58277,2
COO,7.27716,3.0944,6.525,2
COP,51.04754,1.79437,9.28562,2
CPB,12.75005,4.05601,9.65648,2
CPRT,36.1891,9.45348,31.48861,2
CSCO,22.11382,5.64209,18.71614,2
CSX,20.13637,4.98891,14.06279,2
CTLT,43.77235,5.92678,28.3427,2
CTSH,23.63693,3.4911,17.40544,2
CTVA,23.18263,1.19776,11.91504,2
CVS,15.38056,1.51029,9.43855,2
CVX,50.92289,1.3773,8.7607,2
D,26.10274,2.4885,12.5292,2
DD,30.72761,1.31468,9.8292,2
DE,19.52217,6.64136,13.89298,2
DFS,7.85745,3.0541,6.94819,2
DG,21.03046,8.34626,16.31276,2
DGX,9.19882,3.19198,7.13214,2
DHI,8.81164,2.2814,8.38441,2
DHR,43.97465,5.8694,31.37606,2
DISCA,12.09437,1.10296,2.07997,2
DISCK,12.09437,1.10296,2.07997,2
DISH,9.97558,1.52484,6.45679,2
DLTR,13.58926,2.76679,8.85279,2
DOV,26.61706,6.24102,19.87855,2
DOW,10.21538,2.65926,5.83031,2
DRE,37.07354,3.40688,22.82911,2
DRI,30.6421,6.81224,19.41753,2
DTE,16.59235,1.77473,7.80098,2
DUK,25.86894,1.6476,9.2831,2
DVA,15.61818,9.90715,7.10468,2
DXC,27.61348,1.72591,3.86253,2
EBAY,22.16608,3.66252,16.65436,2
ED,22.1676,1.30612,8.42786,2
EFX,43.88231,9.12946,26.82695,2
EIX,26.96277,1.54588,7.48261,2
EMN,42.52819,2.26563,14.71796,2
EMR,23.94263,6.02947,16.84301,2
EOG,22.40299,2.01908,7.82691,2
EQR,42.31733,2.90577,19.49985,2
ES,23.0217,2.00564,12.44724,2
ESS,52.37149,3.53395,22.28116,2
ETN,32.92441,3.99919,22.49711,2
ETR,17.55644,1.99293,6.17414,2
EVRG,18.38033,1.62977,8.46644,2
EXC,49.36954,1.49165,5.21809,2
EXPD,20.94478,6.66358,19.58879,2
EXR,37.01164,8.10206,26.26857,2
F,15.08814,1.51483,4.55448,2
FAST,34.98622,10.5074,29.23937,2
FB,26.50625,7.30855,21.68216,2
FBHS,17.95896,4.18507,13.98469,2
FCX,15.94042,3.72531,8.45552,2
FDX,13.68353,2.78842,7.67281,2
FE,18.70089,2.68435,7.87705,2
FFIV,40.92999,5.42347,29.02619,2
FISV,63.39419,2.20818,16.40223,2
FITB,11.14932,1.29284,8.85222,2
FLT,27.77983,5.97272,19.9951,2
FMC,20.97401,3.86053,16.07407,2
FOX,10.34095,1.92337,8.26694,2
FOXA,10.34095,1.92337,8.26694,2
FRC,27.65877,3.05227,24.62824,2
FRT,59.05261,3.89655,21.62222,2
FTV,16.37286,2.8123,13.51921,2
GD,16.64941,3.48838,12.8259,2
GILD,17.60569,4.56527,12.79496,2
GIS,15.35278,3.72241,12.42937,2
GLW,37.6591,2.6142,13.45606,2
GM,5.70956,1.43326,2.90357,2
GOOG,30.14586,7.81458,24.50471,2
GOOGL,30.14586,7.81458,24.50471,2
GPC,21.43957,5.3667,15.71246,2
GPN,54.10486,1.7228,19.04019,2
GPS,14.13788,2.89844,7.77596,2
GRMN,27.03335,5.72736,24.08635,2
GS,6.87416,1.36763,5.85547,2
GWW,24.45399,11.18623,18.69041,2
HAS,30.50601,4.48482,18.56098,2
HBAN,14.72762,1.19145,14.39189,2
HIG,11.50318,1.32155,8.52194,2
HII,10.25006,3.68199,7.50932,2
HOLX,9.80553,4.99385,8.01347,2
HON,30.5107,8.2711,23.97266,2
HPE,16.71227,0.99906,4.67649,2
HRL,26.27329,3.3024,20.74989,2
HSIC,17.83475,3.14191,13.1216,2
HUM,21.17916,3.46953,16.90684,2
HWM,45.68187,3.70441,23.3121,2
IBM,22.97208,5.43176,9.9777,2
ICE,23.34935,3.11787,17.44765,2
IEX,38.87901,6.07656,31.8864,2
INTC,11.75806,2.51732,7.04644,2
IP,19.22133,2.58381,9.73034,2
IPG,19.10014,4.6276,13.65389,2
IPGP,38.94259,3.17718,27.00354,2
IR,54.65474,2.39601,24.26033,2
IRM,21.26388,11.21779,10.0984,2
IVZ,10.62091,1.0043,7.47862,2
J,33.74793,2.68383,25.21453,2
JBHT,30.46822,6.41505,15.72089,2
JCI,31.12909,2.88443,18.69168,2
JKHY,40.78355,9.41399,25.49535,2
JNJ,24.73834,6.22364,17.14792,2
JNPR,44.28754,2.04585,20.5166,2
JPM,10.20294,1.80292,8.36694,2
K,16.22176,7.86151,11.6433,2
KEY,8.67212,1.19309,7.81166,2
KEYS,39.28027,8.54889,27.85802,2
KHC,21.34306,0.87915,14.54948,2
KIM,23.65884,1.62704,21.4647,2
KMI,21.04253,1.1636,9.85743,2
KMX,19.27954,4.74132,15.66379,2
KO,28.9716,10.48253,24.22775,2
KR,27.01096,3.24367,7.55593,2
LDOS,17.80457,3.14901,12.34959,2
LEG,15.20128,3.94892,10.13964,2
LH,10.04358,2.77648,7.90418,2
LHX,30.74659,2.23328,17.62584,2
LIN,48.93367,3.44026,19.67576,2
LKQ,15.90992,2.49716,11.85989,2
LMT,13.07235,14.26829,10.88522,2
LNT,23.03546,2.47376,11.3256,2
LYB,7.34711,2.85746,5.51594,2
MAA,53.47878,3.63715,23.29085,2
MDLZ,19.96016,4.36523,22.09939,2
MDT,44.58565,3.33883,26.02062,2
MHK,12.36657,1.41442,7.58578,2
MKC,30.64199,5.28139,26.24262,2
MLM,27.98969,3.50473,18.26583,2
MMC,32.05206,7.80359,23.93742,2
MMM,17.55465,7.14567,13.11492,2
MNST,31.89604,8.221,30.46422,2
MOS,8.83299,1.19135,5.34282,2
MRK,38.09166,5.47493,22.23643,2
MS,13.08347,1.81919,10.21031,2
MTB,10.25636,1.10944,8.94805,2
MU,19.90931,1.91194,7.90999,2
NDAQ,28.41473,4.87609,23.54103,2
NEE,49.93934,4.35197,23.58138,2
NEM,16.89766,1.87416,9.31972,2
NI,46.02109,1.95989,9.92816,2
NLSN,29.67678,2.29604,7.22844,2
NOC,12.45443,4.9548,9.52103,2
NRG,9.57918,4.02475,5.51374,2
NSC,22.16907,4.12696,15.15794,2
NTRS,17.82477,1.99114,12.50034,2
NUE,9.50873,2.30589,7.05451,2
NVR,17.28107,5.84325,15.36081,2
NWL,14.06651,2.52615,9.46355,2
NWS,39.90728,1.59817,12.18222,2
NWSA,39.90728,1.59817,12.18222,2
NXPI,56.71569,7.46794,21.04534,2
OKE,17.65974,4.02115,12.07535,2
OMC,11.3824,4.53619,9.20542,2
PBCT,22.03865,0.88803,17.37695,2
PCAR,15.6693,2.45147,9.54706,2
PEG,21.19445,1.95848,11.19674,2
PENN,26.41796,3.74854,14.01474,2
PFE,20.06396,3.51087,14.21989,2
PG,26.04718,7.64073,20.66581,2
PGR,9.90583,2.96338,9.30647,2
PH,20.98673,4.29757,15.40398,2
PHM,7.59894,1.76032,7.05763,2
PKG,20.66239,3.80684,12.56548,2
PKI,17.57561,4.88282,14.24197,2
PNC,13.9299,1.43129,10.74574,2
PNR,26.31003,5.44017,22.4272,2
PNW,15.73883,1.44845,6.68025,2
PPG,22.84039,5.53883,16.72635,2
PRU,5.39964,0.60057,5.00787,2
PVH,26.01717,1.49742,12.19529,2
PWR,30.84835,3.56376,18.35607,2
QRVO,21.3545,4.09514,14.13221,2
REG,50.41689,1.90609,20.59927,2
REGN,11.61373,4.56409,10.70315,2
RF,7.52496,1.09931,6.42524,2
RHI,26.25009,8.91848,22.91182,2
RJF,15.29624,2.24416,13.48376,2
RL,45.17576,2.98414,19.00515,2
ROP,45.64494,4.35844,28.75852,2
ROST,30.25977,10.37122,23.81412,2
RSG,35.1978,4.48585,17.49152,2
RTX,59.60911,1.76221,18.23363,2
SCHW,28.96134,2.72025,25.13419,2
SIVB,16.9483,3.3683,15.38679,2
SJM,16.94322,1.59789,10.4784,2
SLB,37.21875,2.95093,11.43979,2
SNA,14.61481,2.83105,12.4918,2
SO,21.61966,2.39596,9.5903,2
SRE,19.00241,1.71263,15.41353,2
STT,12.99577,1.20999,7.71386,2
STZ,39.72518,3.27207,24.94067,2
SWK,16.18379,2.79831,12.48095,2
SWKS,20.13406,5.63831,15.88147,2
SYF,8.48285,2.0244,7.40033,2
SYK,49.10216,7.31961,33.4843,2
TDY,43.30854,2.66506,35.71297,2
TEL,27.23479,4.5215,18.43183,2
TER,22.6889,7.63059,17.71176,2
TFC,14.03086,1.16175,10.74713,2
TFX,50.98556,5.10387,30.23343,2
TGT,19.22554,7.9514,13.31021,2
TMO,27.63042,6.37344,21.24903,2
TMUS,39.95521,2.31014,7.50498,2
TPR,14.70453,3.29726,11.22212,2
TRMB,43.54934,5.83151,31.60167,2
TROW,16.04853,5.85353,13.46909,2
TRV,10.29678,1.30903,8.20398,2
TSCO,27.57601,11.98379,21.21136,2
TSN,11.89318,1.66444,7.78296,2
TT,32.72845,7.38431,25.94499,2
TTWO,25.96528,4.68797,19.90173,2
TXT,21.96231,2.49193,13.84261,2
UA,27.06414,5.19762,18.18283,2
UAA,27.06414,5.19762,18.18283,2
UHS,11.49558,1.86336,7.49265,2
ULTA,28.42793,10.71187,19.88892,2
UNH,27.23178,5.63417,21.66634,2
UNM,6.81769,0.43717,5.83911,2
UNP,22.3721,8.97556,15.84257,2
URI,23.96964,4.69307,8.20438,2
USB,12.23282,1.79849,11.14651,2
VFC,33.06911,7.9447,24.52314,2
VIAC,7.6801,1.24263,6.73437,2
VMC,33.87976,3.61701,21.06018,2
VRTX,24.4859,5.23503,22.86878,2
VZ,11.19783,3.03581,6.0242,2
